"ID","Session Type","Session Title","Status"
"eorirl9loa","Lightning Talk"," Ending the Blame Game with Automatic Feature Lineage","Rejected"
"23bunvd80h","Lightning Talk","Deploying Full-Stack Applications on a Student Budget: Lessons from Building Real-World Projects","Rejected"
"61m6648oi5","Talk","Compiled Languages in Jupyter: REPLs, ORC JIT, and WebAssembly Across C++, Swift, and Fortran","Rejected"
"34e5spk31b","Talk","Why Most Chip Ideas Never Become Products: The Missing Journey from RTL to Reality","Rejected"
"ddt2qe967p","Talk","Building AI Systems We Can Trust: Reliability, Transparency, and Control","Rejected"
"c1vdk12n10","Talk","The Trust Boundary Problem: Securing MCP in Production Agent Systems","Rejected"
"cr8r8054pm","Talk","Lumen: Production-Grade Data Insights Platform","Rejected"
"4dgbhc25rc","Workshop","Recipes and Runtimes: Making Sense of Containers in 2026","Rejected"
"e4v7nt49ea","Lightning Talk","Designing for Constraints- How hardware UX is different","Rejected"
"dbsl9nm99l","Talk","Infrastructure as Design: Rethinking Cloud Native Operations Beyond YAML","Rejected"
"8rbgprp23p","Talk","Day 0 docs: A Sphinx starter kit for documentation for FOSS projects","Rejected"
"35i87din5k","Talk","The Bangalore Blueprint: How Bandwidth Poverty Created Technical Wealth","Rejected"
"e99tld26gb","Talk","k8sgpt Doesn't Need AI to Debug Your Cluster, Just to Explain It","Rejected"
"20bg66hqvl","Talk","Ecosystem of Opensource tools/libraries/softwares in cyberphysical product design and development","Rejected"
"c8nmqbv5ks","Lightning Talk","OTTL: Fixing Telemetry Before It Leaves Your Cluster","Rejected"
"86ovs8rsf6","Lightning Talk","I Have Read and Agree to the Terms: The Biggest Lie in Tech","Rejected"
"cep45pumc3","Lightning Talk","Beyond CRUD: Building Production-Ready Backend Systems with Open Source Tools","Rejected"
"3aejg3k2mr","Talk","Building an Open Maritime SAR Perception Stack on RK3588 Edge Hardware","Rejected"
"7tvhv9quak","Lightning Talk","Building at the Edge: Combining Open Hardware and ML in Student Projects","Rejected"
"aea6vq837l","Talk","Let's Talk to Wiki","Rejected"
"76fb7rp35n","Talk","Break the API Test Data Bottleneck: Real Scenarios on Real Systems","Rejected"
"2i0m3k81kp","Talk","Lessons from building an open-source agent harness","Rejected"
"134mofpotd","Talk","On-device inference: deploying and debugging models on Android","Rejected"
"12fo8cqjel","Talk","Why Infrastructure Needs a 'Kanvas' : Making Cloud Native Systems Interactive","Rejected"
"atam01fq96","Talk","Android Post-Quantum Integrity Framework","Rejected"
"6ljjud0fqm","Talk","Mapping India's Broken Roads with an All-FOSS Stack","Rejected"
"1atmnho59a","Talk","From Security Drift to Guardrails: Policy Enforcement for Open Source Supply Chains with Minder","Rejected"
"5ssd8o4sd3","Talk","Cloud Security on Bare Metal: Rebuilding VPC Isolation on-prem with Istio Ambient Mode","Rejected"
"6o9rajn7at","Lightning Talk","RBAC Decides Who, Kyverno Decides What: Practical Kubernetes Admission Security","Rejected"
"3fvg4r067j","Talk","The cost of freedom is high: A Guide to Escaping Vendor Lock-In with FOSS","Rejected"
"6ccvj732ph","Lightning Talk","Closed for Contributions: Why Open Source Projects Are Shutting Their Doors and How to Keep Them Open","Rejected"
"3v5n7u73bq","Talk","What I learned fixing a bug and adding a feature to Celery.","Rejected"
"f2cko4si04","Talk","Your ML Model Is Wrong and You Don't Know It: Building Feature Monitoring into Feast","Rejected"
"akfirftocm","Talk","Cloudwash: An Open Source Tool to Stop Cloud Waste Before It Burns Your Budget","Rejected"
"eba9bbcdd8","Talk","Taming the Local LLM: Why MCP Doesn't Cure Hallucinations (A Dynamic Resume Case Study)","Rejected"
"9a8056ifdl","Talk","Valkey: From Community Fork to AI-Ready Infrastructure","Rejected"
"40nid41dec","Talk"," The Conversion Gap: Why 9-Year-Old Issues Never Die in Open Source","Rejected"
"2spauuo7vo","Talk","JASPER: Open-Source Spectroscopy for Everyday Science","Rejected"
"9shhvefgsr","Talk","The Problem Behind the Problem: What Service Design Can Teach Us About Building Better AI","Rejected"
"frqj3nand4","Talk","Who Gets to Create a Bucket? Self-Service Multi-Tenancy in Ceph with IAM Accounts","Rejected"
"eq28nahppg","Lightning Talk","Don't Feed Your AI Stale Data: Stream Processing 101 with Kafka and Flink","Rejected"
"7brd93btva","Talk","Teaching Agents How to Think, Not What to Say","Rejected"
"6nnaglarqp","Talk","Agents as Backend: Reimagining Backend Architecture","Rejected"
"6k23p3u5q1","Lightning Talk","Most support work is engineering disguised as customer service: The operator mindset behind building systems","Rejected"
"ejpu9bmr5g","Lightning Talk","OpenHW Device: Building the DVWA of Hardware Hacking","Rejected"
"6vnn81dn5f","Talk","Building Reliable AI Voice Agents with Open-Source Speech and Realtime Infrastructure","Rejected"
"3sqs62vkcf","Talk","Data Engineering Layer between MCP and Agent","Rejected"
"7ni8irj3p1","Lightning Talk","Functional Packaging and Reproducible Builds with Nix","Rejected"
"1dur6u64a0","Lightning Talk","Why Documentation Shouldn't Feel Like Plain Text","Rejected"
"35pjoehfhe","Talk","Your AI Agent Is Guessing. Give It Context It Can Trust.","Rejected"
"2hre0ju6bv","Talk","Arivu Mitra: Building a Motivation-Driven WhatsApp System for Rural Libraries as Community Knowledge Hubs","Rejected"
"5uchpc9tk6","Talk","Obfuscation-as-a-Service: Making Reverse Engineers Work for It","Rejected"
"f7fmimgr6a","Talk","Shriya Chauhan","Rejected"
"6varsjgs81","Talk","Do LLMs dream of electric bugs","Rejected"
"9guh36qmgp","Talk","Adding frm parser util in MariaDB","Rejected"
"6jnq324su7","Talk","ELF-OWL: Real-Time Kubernetes Runtime Security and CIS Compliance Automation via eBPF","Rejected"
"3hksjs927m","Talk","Networking in a Trustless Distributed System","Rejected"
"5g14vk3hmn","Lightning Talk","Shift Left, Ship Ready: Automating E2E Tests Directly from Jira with Playwright MCP","Rejected"
"83g9rqjbvg","Lightning Talk","Journey from Ingress to Gateway API","Rejected"
"915ls1csqm","Talk","From Confusion to Clarity — Understanding Rust the Way the Compiler Does","Rejected"
"2ufn42lsc4","Talk","From Inventory to Policy: The Remarkable Evolution of SBOMs","Rejected"
"78mho6ib27","Talk","Developing safety guardrails for AI use cases in the Indian social sector","Rejected"
"48ji4uerd0","Talk","Your Package Manager Is not your friend: Install-Time Attacks and How to Stop Them","Rejected"
"f3hsck5td9","Talk","From Claims to Proof: How Open Data Can Reduce Greenwashing and Enable Circular Economies","Rejected"
"fpca2l832k","Talk","Open Hardware for Climate Resilience: From Rain Gauges to Flood Early Warning","Rejected"
"9m743l8njq","Talk","IoT enabling Smart Panchayats: A Control, Communication, and Computing Ecosystem for Sustainable Development Goals","Rejected"
"014ih6mmme","Talk","Virtualization: Who is Who?","Rejected"
"dcea4cggp8","Talk","Flutter Beyond the Screen: Building Embedded Linux Apps with flutter-elinux","Rejected"
"63n4tkm6vd","Talk","CS17: CS Education ❤️ FOSS","Rejected"
"4nvom5plk0","Lightning Talk","Why does the bartender need your Aadhaar?","Rejected"
"3ela11c5vv","Talk","Guix: The Time Travelling OS","Rejected"
"9h34srmmdo","Talk","Sovereign Tokens","Rejected"
"bvioeao0jg","Lightning Talk","The Cost of Safety: Should You Pay the Rust Tax","Rejected"
"6r81qol6cd","Talk","Innovations @NSO India","Rejected"
"7o3kep3hov","Talk","How This Modern CLI Tool Lets You Build Apps Without Wasting Time on Configuration","Rejected"
"di2a81jvh2","Talk","HackAgent: Automated Red-Teaming for AI Agents","Rejected"
"1b3615uhvh","Talk","Trust Nothing, Scan Everything: A Registry-First Security Strategy","Rejected"
"85vbmjtos1","Talk","Secure at Source: Shifting Container Supply Chain Security to the Registry","Rejected"
"c9bdqjmbbs","Birds of Feather(BoF)","Organizing OpenStreetMap Mapping Parties","Rejected"
"dmmfpibfer","Lightning Talk","Compliance Ready Kubernetes using oss with KubeAid","Rejected"
"1d2m5014fo","Talk","Trial by Fire: Stress Testing Kubernetes Scalability Limits with kube-burner","Rejected"
"fm45ev069a","Talk","Trust, but Verify the Network: Social-Graph Analysis for Safer Agent-to-Agent Transactions","Rejected"
"aaftdc1hag","Talk","Before the Agent Calls exec(): Source-Level Findings from 100 MCP Servers","Rejected"
"b7tcjd5lgs","Talk","Securing the Source: Why Every Package You Install Deserves More Trust Than You Give It","Rejected"
"83d08u9l8f","Talk","Servo: A Modern Web Rendering Engine","Rejected"
"6h3c01r4l2","Talk","Designing beyond simplicity. A case for complex digital tools","Rejected"
"4qtl964u5i","Lightning Talk","From Tickets to Self-Service: How We Reduced Developer Wait Time by 80%","Rejected"
"bplucsagr6","Talk","The Steering Loop: Harness Engineering with OpenCode for the Agent-First Era","Rejected"
"dj0g2bhud9","Lightning Talk","The Hidden Complexity of Reverse Proxies","Rejected"
"1amm7f8h59","Talk","Let It Flow: how to think about Responsive Web Design","Rejected"
"874unr6men","Talk","What it takes to Redesign an Open Source Website: Lessons from an AsyncAPI Maintainer","Rejected"
"5jlvs84q06","Lightning Talk","Community-Centred Technology","Rejected"
"a9b2qq69iv","Talk","The Hardware Behind AI: Why GPUs Are Taking Over","Rejected"
"6jtv2778r5","Talk","Transpiler for Build Systems - Unifying C/C++ build logic","Rejected"
"cd2vnkt92l","Talk","Compiling ONNX to Custom RISC-V FPGA accelerator with xDSL","Rejected"
"4bnl18cear","Talk","Checkmate by Proof: A Chess System in Lean","Rejected"
"69lh1rcr1r","Talk","How did we write an Operating System from scratch? Learn & experience XenevaOS","Rejected"
"fk2len9jbe","Lightning Talk","Rethinking Firewall Architecture in the eBPF Era","Rejected"
"c262boak7n","Lightning Talk","When Custom Controllers Go Rogue: Postmortems from Building Kubernetes Operators in Go","Rejected"
"0mpbaega1l","Talk","Prevention is Better than Cure: Securing the Container Supply Chain at the Registry Level","Rejected"
"bllscp00kg","Talk","How Concurrency Ate Software: What Git, Open Source, Cloud Computing, and Operating Systems Have in Common","Rejected"
"95rbbeck2l","Talk","Memory-Mapped FPGA Peripherals on Zephyr: FMC and QSPI Approaches","Rejected"
"afd6n4lf62","Talk","Reverse Engineering and Running Zephyr RTOS on a Drone Controller","Rejected"
"e9dkri99vs","Talk","Kafka on Kubernetes: A Production Migration Story from ZooKeeper to KRaft","Rejected"
"49dcufrgvk","Lightning Talk","How a Student Community Built Open Source Contributors for Two Decades","Rejected"
"8asgmqafu7","Lightning Talk","Burn genAI to the ground","Rejected"
"7m3tt5ldqd","Talk","Understanding Laravel Applications with Neo4j MCP and Graph Intelligence","Rejected"
"0i3kpv1a3b","Talk","Beyond Queries: Engineering Full Neo4j PHP Driver Compliance with Bolt and TestKit","Rejected"
"7q899vchrb","Talk","Gesture-Driven Web Accessibility: Adapting Interfaces with Multimodal LLMs","Rejected"
"e7fonle7hq","Talk","VEX in the trenches: how exploitability data actually flows","Rejected"
"80sf8dlqoq","Talk","It's 2 AM and a critical CVE just dropped. Which of your releases ship the affected library?","Rejected"
"8sduqa7pg1","Lightning Talk","Nia: My First Badge","Rejected"
"4m822vl84a","Talk","React is not just for the Web: Running React on an ESP32 Microcontroller","Rejected"
"adc21pl6kv","Workshop","Adding roads and buildings to OpenStreetMap (indoor workshop)","Rejected"
"0j656cfmm4","Talk","AI, Accessibility, and Open Source: Who gets left behind?","Rejected"
"2i5192fg2l","Talk","The Open Source Docs Accessibility Checklist I Wish Every Project Had","Rejected"
"6erq0p5mu6","Talk","Docs for Humans, Docs for Bots: Writing Open Source Documentation in the Age of AI Agents","Rejected"
"7dvqmi094v","Talk","Your First PR Doesn't Have to Be Code","Rejected"
"888r53cj8c","Talk","Writing for Humans Who Will Be Replaced by Agents","Rejected"
"14ku5in3nd","Talk","What If the Best Documentation Isn't Text?","Rejected"
"60o53lofun","Talk","Good Docs Are an Accessibility Feature. We Just Don't Treat Them That Way","Rejected"
"6u94bu78qp","Talk","Nobody reads the Docs (And that's our fault)","Rejected"
"3rt9jf9eh4","Talk","When the LLM Writes the Docs, Who Owns the Gap?","Rejected"
"e4sodgr7hd","Talk","From Monolith to Microservices: Application Modernization with Istio","Rejected"
"0ctj6sbnbo","Lightning Talk","GitOps Security - Because Git Commits Shouldn't Deploy Vulnerable Containers","Rejected"
"592rp7uac5","Talk","80% of Your Container CVEs Live in Code You Didn’t Write","Rejected"
"e1v9vnn43b","Talk","Trust by Proof, Not by Popularity - Verifying Container Provenance","Rejected"
"83nkvis97s","Talk","Building Formally Verified Software After Mythos","Rejected"
"dle2fk6arq","Lightning Talk","AI SRE: A Talk on Incidents, Open Source, and Engineering Teams in 2026","Rejected"
"dl6u0mjtgl","Talk","The Agent Harness Control Plane: Running AI Workloads Safely on Kubernetes","Rejected"
"fjm40i136a","Talk","The Battle for the Commons: Open Governance & Architecture in Cloud Native Infrastructure","Rejected"
"6m3fj2eelv","Talk","MCP Security in Production: What the Protocol Won't Do For You","Rejected"
"7h9kppnsc0","Lightning Talk","LeanDetective - Can AI solve murder mysteries?","Rejected"
"e6lrp8uufr","Lightning Talk","Bye bye datasheets, Hello HardwareLib","Rejected"
"c3bqtdag8l","Talk","When ORDER BY Becomes Code: Finding a SQL Injection in Frappe's Query Layer","Rejected"
"emdo5keibk","Lightning Talk","The Geometry of Technical Belonging: Building Communities from the Outside In","Rejected"
"coak1agmkd","Talk","From 4B to 1B: How I Built a Phone-Ready Legal AI for India with Open LLM(Gemma)","Rejected"
"0ak5gg234q","Talk","Lessons Learned from a hardware prototype/weekend project that tried to turn into a product","Rejected"
"1gb7gl1p9c","Talk","The Open Source Dependencies Running Your Startup (Without You Knowing It)","Rejected"
"ba7f6gup8n","Lightning Talk","Building Open Sign Language Technology: How AI and FOSS Can Make the Internet More Accessible","Rejected"
"88itlnkebl","Talk","Real Observability for Small Local LLMs with OpenTelemetry and COS Lite","Rejected"
"69u60spu4n","Talk","Beyond Alert-as-Code: Building a GitOps Governance Platform for Production Alerting","Rejected"
"a1smtoq8a7","Talk","Ramanujan-Computing: A Distributed Scientific Computing Platform Built on the World's Idle Devices","Rejected"
"fj7mcvp4o8","Lightning Talk","Your Containers Are Not as Isolated as You Think . ","Rejected"
"9ue83gq44e","Workshop","Mankala Engine: A Qt-based application for playing various Mankala Games","Rejected"
"68j158qt6i","Talk","Moving CRUD to the Frontend: A Case for Local-First Web Architecture","Rejected"
"ctk9k4b57v","Talk","I Swear the Database Was Alive 5 Minutes Ago","Rejected"
"bkkhvkvkm3","Talk","Ditch the Managed Tax: Migrating a Fintech Analytics Stack to Open Source","Rejected"
"ae1s096p2o","Talk","How I made FastAPI 6x faster | Beyond optimizations and microoptimizations","Rejected"
"4hko015smv","Lightning Talk","Reducing Toil in Infra: A Real-World Migration and Automation Journey","Rejected"
"cr7pc8it4t","Talk","A Space for All of Us: Finding the Human Side of Web Accessibility","Rejected"
"5qrbln1s34","Talk","Slopsquatting: How My AI Coding Assistant Secretly Tried to Poison My Supply Chain","Rejected"
"960ghn9k65","Lightning Talk","Building an AI‑First Document Digitization Engine for Mifos X: Architecture, Async Patterns, and Debugging LLM Pipelines in Production","Rejected"
"9j3kmqhl4e","Talk","Specs That Don't Drift: Verifiable Spec-Driven Development with AI","Rejected"
"6junljem35","Lightning Talk","The Contributor Flywheel: Proven Strategies to Attract, Engage, and Retain Open Source Contributors","Rejected"
"bc6p95dkb6","Lightning Talk","Title Your First Open Source Contribution Is Closer Than You Think","Rejected"
"e1u04k2t1q","Talk","That 3AM Outage Could Have Been Avoided: An Introduction to Chaos Engineering","Rejected"
"fe8pqgu0g4","Talk","LLM Security in Practice: Real Exploits, Real Defences","Rejected"
"3m90rv3o7u","Talk","Dead Container Walking: Post-Incident Analysis When Your Workload Is Already Gone","Rejected"
"3a0elbpb7l","Talk","Open Source for Women in Tech: Building Inclusive Communities That Last","Rejected"
"6ughgvhf1t","Talk","Beyond Code: How Documentation, Community, and Communication Drive Open Source Success","Rejected"
"a6rjljau7b","Talk","A simple HI turns an AI blackbox to a partner you can trust","Rejected"
"1ru59p2f72","Talk","Nodefy - Cloud Platform For Students Learning","Rejected"
"ams8n6qlvk","Talk","Free Software, Proprietary Pipeline","Rejected"
"2rhmmfnhma","Talk","Building a First Principle FOSS Community","Rejected"
